Test case num,Expected Output,Student Output,Test case result
0,+--------------------+---------+--------------+--------------------------+-------------------+,+--------------------+---------+--------------+--------------------------+-------------------+,Pass
1,|             song_id|    token|term frequency|inverse document frequency|             TF-IDF|,|             song_id|    token|term frequency|inverse document frequency|             TF-IDF|,Pass
2,+--------------------+---------+--------------+--------------------------+-------------------+,+--------------------+---------+--------------+--------------------------+-------------------+,Pass
3,|               Faded|   artist|             1|         0.125163142954006|  0.125163142954006|,|               Faded|        i|             1|         0.125163142954006|  0.125163142954006|,Fail
4,|               Faded|     name|             1|         0.125163142954006|  0.125163142954006|,|               Faded|    album|             1|         0.125163142954006|  0.125163142954006|,Fail
5,|               Faded|       to|             1|         0.125163142954006|  0.125163142954006|,|               Faded|   artist|             1|         0.125163142954006|  0.125163142954006|,Fail
6,|               Faded|    album|             1|         0.125163142954006|  0.125163142954006|,|               Faded|     name|             1|         0.125163142954006|  0.125163142954006|,Fail
7,|               Faded|        i|             1|         0.125163142954006|  0.125163142954006|,|               Faded|       to|             1|         0.125163142954006|  0.125163142954006|,Fail
8,|               Faded|       in|             1|       0.26826398659467937|0.26826398659467937|,|               Faded|       in|             1|       0.26826398659467937|0.26826398659467937|,Pass
9,|               Faded|       is|             1|       0.26826398659467937|0.26826398659467937|,|               Faded|       is|             1|       0.26826398659467937|0.26826398659467937|,Pass
10,|               Faded|        a|             1|        0.3483066942682158| 0.3483066942682158|,|               Faded|        a|             1|        0.3483066942682158| 0.3483066942682158|,Pass
11,|               Faded|       it|             1|        0.3483066942682158| 0.3483066942682158|,|               Faded|       it|             1|        0.3483066942682158| 0.3483066942682158|,Pass
12,|               Faded|       on|             1|        0.3483066942682158| 0.3483066942682158|,|               Faded|       on|             1|        0.3483066942682158| 0.3483066942682158|,Pass
13,|               Faded|       me|             2|        0.1941560144409574| 0.3883120288819148|,|               Faded|       me|             2|        0.1941560144409574| 0.3883120288819148|,Pass
14,|               Faded|      all|             1|        0.4353180712578455| 0.4353180712578455|,|               Faded|      all|             1|        0.4353180712578455| 0.4353180712578455|,Pass
15,|               Faded|      but|             1|        0.4353180712578455| 0.4353180712578455|,|               Faded|      but|             1|        0.4353180712578455| 0.4353180712578455|,Pass
16,|               Faded|       of|             4|         0.125163142954006|  0.500652571816024|,|               Faded|       of|             4|         0.125163142954006|  0.500652571816024|,Pass
17,|               Faded|       go|             1|        0.5306282510621704| 0.5306282510621704|,|               Faded|       go|             1|        0.5306282510621704| 0.5306282510621704|,Pass
